Seizure,Eth,USD,Take,Refund,CumTake,ShardToEth,Prize,CumPrize
1,0.05,160,0.00025,0.04975,0.00025,0.00025,0.000125,0.000125
2,0.0504,161.28,0.000252,0.050148,0.000502,0.000252,0.000126,0.000251
3,0.0508032,162.57024,0.000254016,0.050549184,0.000756016,0.000254016,0.000127008,0.000378008
4,0.0512096256,163.8708019,0.000256048128,0.05095357747,0.001012064128,0.000256048128,0.000128024064,0.000506032064
5,0.0516193026,165.1817683,0.000258096513,0.05136120609,0.001270160641,0.000258096513,0.0001290482565,0.0006350803205
6,0.05203225703,166.5032225,0.0002601612851,0.05177209574,0.001530321926,0.0002601612851,0.0001300806426,0.0007651609631
7,0.05244851508,167.8352483,0.0002622425754,0.05218627251,0.001792564502,0.0002622425754,0.0001311212877,0.0008962822508
8,0.0528681032,169.1779302,0.000264340516,0.05260376269,0.002056905018,0.000264340516,0.000132170258,0.001028452509
9,0.05329104803,170.5313537,0.0002664552401,0.05302459279,0.002323360258,0.0002664552401,0.0001332276201,0.001161680129
10,0.05371737641,171.8956045,0.0002685868821,0.05344878953,0.00259194714,0.0002685868821,0.000134293441,0.00129597357
11,0.05414711542,173.2707694,0.0002707355771,0.05387637985,0.002862682717,0.0002707355771,0.0001353677886,0.001431341358
12,0.05458029235,174.6569355,0.0002729014617,0.05430739089,0.003135584179,0.0002729014617,0.0001364507309,0.001567792089
13,0.05501693469,176.054191,0.0002750846734,0.05474185001,0.003410668852,0.0002750846734,0.0001375423367,0.001705334426
14,0.05545707016,177.4626245,0.0002772853508,0.05517978481,0.003687954203,0.0002772853508,0.0001386426754,0.001843977101
15,0.05590072672,178.8823255,0.0002795036336,0.05562122309,0.003967457836,0.0002795036336,0.0001397518168,0.001983728918
16,0.05634793254,180.3133841,0.0002817396627,0.05606619288,0.004249197499,0.0002817396627,0.0001408698313,0.00212459875
17,0.056798716,181.7558912,0.00028399358,0.05651472242,0.004533191079,0.00028399358,0.00014199679,0.00226659554
18,0.05725310573,183.2099383,0.0002862655286,0.0569668402,0.004819456608,0.0002862655286,0.0001431327643,0.002409728304
19,0.05771113057,184.6756178,0.0002885556529,0.05742257492,0.005108012261,0.0002885556529,0.0001442778264,0.00255400613
20,0.05817281962,186.1530228,0.0002908640981,0.05788195552,0.005398876359,0.0002908640981,0.000145432049,0.002699438179
21,0.05863820217,187.642247,0.0002931910109,0.05834501116,0.00569206737,0.0002931910109,0.0001465955054,0.002846033685
22,0.05910730779,189.1433849,0.000295536539,0.05881177125,0.005987603909,0.000295536539,0.0001477682695,0.002993801954
23,0.05958016625,190.656532,0.0002979008313,0.05928226542,0.00628550474,0.0002979008313,0.0001489504156,0.00314275237
24,0.06005680758,192.1817843,0.0003002840379,0.05975652355,0.006585788778,0.0003002840379,0.000150142019,0.003292894389
25,0.06053726204,193.7192385,0.0003026863102,0.06023457573,0.006888475088,0.0003026863102,0.0001513431551,0.003444237544
26,0.06102156014,195.2689925,0.0003051078007,0.06071645234,0.007193582889,0.0003051078007,0.0001525539004,0.003596791444
27,0.06150973262,196.8311444,0.0003075486631,0.06120218396,0.007501131552,0.0003075486631,0.0001537743316,0.003750565776
28,0.06200181048,198.4057935,0.0003100090524,0.06169180143,0.007811140604,0.0003100090524,0.0001550045262,0.003905570302
29,0.06249782497,199.9930399,0.0003124891248,0.06218533584,0.008123629729,0.0003124891248,0.0001562445624,0.004061814865
30,0.06299780757,201.5929842,0.0003149890378,0.06268281853,0.008438618767,0.0003149890378,0.0001574945189,0.004219309383
31,0.06350179003,203.2057281,0.0003175089501,0.06318428108,0.008756127717,0.0003175089501,0.0001587544751,0.004378063859
32,0.06400980435,204.8313739,0.0003200490217,0.06368975533,0.009076176739,0.0003200490217,0.0001600245109,0.004538088369
33,0.06452188278,206.4700249,0.0003226094139,0.06419927337,0.009398786153,0.0003226094139,0.000161304707,0.004699393076
34,0.06503805784,208.1217851,0.0003251902892,0.06471286756,0.009723976442,0.0003251902892,0.0001625951446,0.004861988221
35,0.06555836231,209.7867594,0.0003277918115,0.0652305705,0.01005176825,0.0003277918115,0.0001638959058,0.005025884127
36,0.06608282921,211.4650535,0.000330414146,0.06575241506,0.0103821824,0.000330414146,0.000165207073,0.0051910912
37,0.06661149184,213.1567739,0.0003330574592,0.06627843438,0.01071523986,0.0003330574592,0.0001665287296,0.005357619929
38,0.06714438377,214.8620281,0.0003357219189,0.06680866185,0.01105096178,0.0003357219189,0.0001678609594,0.005525480889
39,0.06768153884,216.5809243,0.0003384076942,0.06734313115,0.01138936947,0.0003384076942,0.0001692038471,0.005694684736
40,0.06822299115,218.3135717,0.0003411149558,0.0678818762,0.01173048443,0.0003411149558,0.0001705574779,0.005865242214
41,0.06876877508,220.0600803,0.0003438438754,0.06842493121,0.0120743283,0.0003438438754,0.0001719219377,0.006037164151
42,0.06931892528,221.8205609,0.0003465946264,0.06897233066,0.01242092293,0.0003465946264,0.0001732973132,0.006210461465
43,0.06987347669,223.5951254,0.0003493673834,0.0695241093,0.01277029031,0.0003493673834,0.0001746836917,0.006385145156
44,0.0704324645,225.3838864,0.0003521623225,0.07008030218,0.01312245264,0.0003521623225,0.0001760811613,0.006561226318
45,0.07099592422,227.1869575,0.0003549796211,0.0706409446,0.01347743226,0.0003549796211,0.0001774898105,0.006738716128
46,0.07156389161,229.0044532,0.0003578194581,0.07120607215,0.01383525171,0.0003578194581,0.000178909729,0.006917625857
47,0.07213640274,230.8364888,0.0003606820137,0.07177572073,0.01419593373,0.0003606820137,0.0001803410069,0.007097966864
48,0.07271349397,232.6831807,0.0003635674698,0.0723499265,0.0145595012,0.0003635674698,0.0001817837349,0.007279750599
49,0.07329520192,219.8856058,0.0003664760096,0.07292872591,0.01492597721,0.0003664760096,0.0001832380048,0.007462988604
50,0.07388156353,221.6446906,0.0003694078177,0.07351215571,0.01529538503,0.0003694078177,0.0001847039088,0.007647692513
51,0.07447261604,223.4178481,0.0003723630802,0.07410025296,0.01566774811,0.0003723630802,0.0001861815401,0.007833874053
52,0.07506839697,225.2051909,0.0003753419848,0.07469305498,0.01604309009,0.0003753419848,0.0001876709924,0.008021545045
53,0.07566894414,227.0068324,0.0003783447207,0.07529059942,0.01642143481,0.0003783447207,0.0001891723604,0.008210717405
